,Glucose,Ethanol,Acetate,Maltose
YLR331C,0.00027,0.00054,0.00035,0.00045
YLR332W,0.02973,0.01108,0.01222,0.01151
YLR333C,0.29195,0.12707,0.12162,0.16634
YLR334C,0.00054,0.00024,0.00017,0.00001
YLR335W,0.02567,0.00987,0.00885,0.01097
YLR336C,0.00923,0.00336,0.00414,0.00749
YLR337C,0.01590,0.01846,0.00851,0.00725
YLR338W,0.00036,0.00019,0.00011,0.00015
YLR339C,0.00237,0.00250,0.00274,0.00088
YLR295C,0.33944,0.12970,0.13021,0.14798
YLR296W,0.00400,0.00144,0.00169,0.00129
YLR297W,0.03227,0.01433,0.00922,0.01129
YLR298C,0.02054,0.00569,0.00487,0.00655
YLR299W,0.04136,0.01545,0.00849,0.01739
YLR300W,0.14532,0.03734,0.03281,0.05693
YLR301W,0.05361,0.01520,0.01463,0.02066
YLR302C,0.00030,0.00011,0.00004,0.00011
YLR303W,0.71659,0.42578,0.36067,0.55056
YLR304C,0.33397,0.16325,0.19366,0.15740
YLR305C,0.01758,0.00754,0.00581,0.00502
YLR306W,0.00942,0.00220,0.00309,0.00333
YLR307W,0.00714,0.00316,0.00440,0.00185
YLR308W,0.00243,0.01527,0.00333,0.00026
YLR309C,0.02386,0.01180,0.01163,0.00824
YLR310C,0.00768,0.00229,0.00276,0.00217
YLR311C,0.01493,0.00954,0.00702,0.00616
YLR312C,0.07791,0.04294,0.03163,0.03903
YLR313C,0.01389,0.00263,0.00190,0.00454
YLR314C,0.01355,0.00385,0.00365,0.00310
YLR315W,0.00588,0.00132,0.00082,0.00225
YLR316C,0.02067,0.00642,0.00654,0.00992
YLR274W,0.01900,0.00708,0.00579,0.00769
YLR275W,0.00701,0.00238,0.00204,0.00316
YLR276C,0.04414,0.01158,0.01306,0.01545
YLR277C,0.01867,0.00777,0.00689,0.00518
YLR278C,0.00829,0.00452,0.00322,0.00274
YLR279W,0.00626,0.00599,0.00490,0.00368
YLR280C,0.06704,0.05811,0.04946,0.04381
YLR281C,0.02474,0.01025,0.00471,0.01243
YLR282C,0.00197,0.00081,0.00086,0.00132
YLR283W,0.00589,0.00247,0.00237,0.00210
YLR284C,0.10616,0.05049,0.03431,0.05265
YLR285W,0.02205,0.00583,0.00514,0.00706
YLR286C,0.35592,0.11794,0.09155,0.19073
YLR287C,0.00404,0.00142,0.00112,0.00176
YLR287C-A,0.65145,0.40154,0.33852,0.53290
YLR288C,0.01639,0.00552,0.00443,0.00679
YLR289W,0.01145,0.00510,0.00366,0.00496
YLR290C,0.08273,0.02733,0.02677,0.03971
