,MA_020,MA_023,MA_027,MA_030,MA_032,MA_034
YAL001C,0.00035,0.00023,0.00052,0.00041,0.00050,0.00046
YAL002W,0.00017,0.00005,0.00025,0.00022,0.00020,0.00026
YAL003W,0.00009,0.00003,0.00011,0.00008,0.00009,0.00007
YAL007C,0.00025,0.00015,0.00017,0.00022,0.00021,0.00024
YAL008W,0.00002,0.00002,0.00003,0.00002,0.00002,0.00002
YAL009W,0.00002,0.00002,0.00001,0.00002,0.00002,0.00002
YAL010C,0.00029,0.00013,0.00025,0.00018,0.00020,0.00020
YAL011W,0.00105,0.00074,0.00105,0.00091,0.00079,0.00080
YAL012W,0.00022,0.00018,0.00011,0.00012,0.00012,0.00011
YAL013W,0.00024,0.00013,0.00024,0.00013,0.00018,0.00018
YAL014C,0.00002,0.00001,0.00001,0.00001,0.00001,0.00002
YAL015C,0.00003,0.00003,0.00002,0.00003,0.00002,0.00003
YAL016C-A,0.00790,0.00589,0.00563,0.00499,0.00476,0.00450
YAL016C-B,0.00117,0.00057,0.00140,0.00164,0.00175,0.00183
YAL016W,0.00025,0.00010,0.00056,0.00042,0.00052,0.00042
YAL017W,0.00004,0.00005,0.00007,0.00004,0.00005,0.00004
YAL018C,0.00013,0.00010,0.00058,0.00046,0.00025,0.00021
YAL019W-A,0.00363,0.00244,0.00307,0.00280,0.00338,0.00323
YAL019W,0.00002,0.00002,0.00005,0.00003,0.00005,0.00003
YAL020C,0.00004,0.00002,0.00003,0.00002,0.00003,0.00002
YAL022C,0.00006,0.00004,0.00006,0.00007,0.00005,0.00006
YAL023C,0.00003,0.00002,0.00002,0.00002,0.00003,0.00002
YAL024C,0.00001,0.00000,0.00002,0.00002,0.00002,0.00003
YAL025C,0.00005,0.00001,0.00006,0.00002,0.00002,0.00002
YAL026C-A,0.00302,0.00089,0.00343,0.00219,0.00189,0.00212
YAL026C,0.00005,0.00004,0.00002,0.00003,0.00003,0.00002
YAL027W,0.00006,0.00002,0.00017,0.00007,0.00015,0.00013
YAL028W,0.00016,0.00016,0.00037,0.00037,0.00039,0.00042
YAL029C,0.00126,0.00050,0.00157,0.00149,0.00164,0.00177
YAL030W,0.00017,0.00008,0.00034,0.00029,0.00030,0.00032
YAL031C,0.00016,0.00014,0.00014,0.00019,0.00013,0.00012
YAL031W-A,0.00321,0.00217,0.00374,0.00357,0.00343,0.00352
YAL032C,0.00007,0.00007,0.00015,0.00015,0.00019,0.00020
YAL033W,0.00032,0.00014,0.00077,0.00039,0.00051,0.00042
YAL034C-B,0.00477,0.00151,0.00989,0.00773,0.00923,0.00929
YAL034C,0.00007,0.00002,0.00005,0.00004,0.00003,0.00006
YAL034W-A,0.00032,0.00013,0.00031,0.00032,0.00037,0.00038
YAL035W,0.00076,0.00036,0.00074,0.00048,0.00047,0.00050
YAL036C,0.00001,0.00001,0.00000,0.00001,0.00002,0.00002
YAL037C-A,0.00090,0.00025,0.00097,0.00126,0.00128,0.00134
YAL037C-B,0.31585,0.24184,0.22830,0.23304,0.24348,0.27764
YAL037W,0.00064,0.00076,0.00056,0.00071,0.00071,0.00080
YAL038W,0.00015,0.00008,0.00012,0.00011,0.00012,0.00012
YAL039C,0.00154,0.00087,0.00106,0.00084,0.00084,0.00093
YAL040C,0.00010,0.00003,0.00004,0.00005,0.00009,0.00005
YAL041W,0.00017,0.00012,0.00021,0.00023,0.00027,0.00025
YAL042C-A,0.01461,0.01223,0.01314,0.01322,0.01495,0.01562
YAL042W,0.00010,0.00008,0.00007,0.00009,0.00011,0.00011
YAL043C,0.00004,0.00003,0.00007,0.00003,0.00006,0.00003
YAL044C,0.00074,0.00039,0.00156,0.00137,0.00152,0.00140
YAL044W-A,0.00019,0.00009,0.00035,0.00035,0.00045,0.00038
YAL045C,0.01022,0.00920,0.01167,0.01153,0.01155,0.01085
YAL046C,0.00016,0.00021,0.00022,0.00024,0.00025,0.00027
YAL047C,0.00007,0.00003,0.00004,0.00005,0.00005,0.00007
YAL047W-A,0.00126,0.00084,0.00095,0.00093,0.00089,0.00083
YAL048C,0.00004,0.00005,0.00009,0.00010,0.00011,0.00013
YAL049C,0.00008,0.00003,0.00012,0.00011,0.00012,0.00014
YAL051W,0.00007,0.00004,0.00012,0.00006,0.00008,0.00010
YAL053W,0.00005,0.00004,0.00004,0.00007,0.00006,0.00006
YAL054C,0.00017,0.00011,0.00056,0.00474,0.00567,0.00561
YAL055W,0.00227,0.00110,0.00123,0.00148,0.00130,0.00132
