"score.MA_020","score.MA_023","score.MA_027","score.MA_030","score.MA_032","score.MA_034","pvalue.MA_020","pvalue.MA_023","pvalue.MA_027","pvalue.MA_030","pvalue.MA_032","pvalue.MA_034","fdr.pvalue.MA_020","fdr.pvalue.MA_023","fdr.pvalue.MA_027","fdr.pvalue.MA_030","fdr.pvalue.MA_032","fdr.pvalue.MA_034"
"Gluconeogenesis",-0.131939661645375,-0.194516254778108,-1.02193815959137,-0.417026713384767,-0.5463546934986,-0.666556972346923,0.908382066276803,0.881763527054108,0.404471544715447,0.732142857142857,0.662313432835821,0.602362204724409,0.951898734177215,0.962425840474621,0.848484848484849,0.934768389130047,0.938586616635397,0.933852140077821
"sce00010  Glycolysis",-0.123950915490237,-0.184805509568065,-1.07898922054496,-0.435391116689917,-0.514439710761076,-0.665584243986732,0.898661567877629,0.883168316831683,0.415132924335378,0.715648854961832,0.6875,0.576519916142558,0.951898734177215,0.962425840474621,0.848484848484849,0.934768389130047,0.938586616635397,0.933852140077821
"sce00020  Citrate cycle (TCA cycle)",0.150234934468395,0.183755846454101,-0.336413062000729,0.515594241635198,0.331590952469095,-0.144316470232091,0.918326693227092,0.890243902439024,0.776892430278884,0.673553719008264,0.776876267748479,0.926931106471816,0.951898734177215,0.962425840474621,0.979791794243723,0.934768389130047,0.938586616635397,0.988726513569937
"sce00030  Pentose phosphate pathway",0.235797900632541,0.167828432916559,0.313405929170387,0.202852765411876,-0.00716708839537612,0.244582083706097,0.828282828282828,0.868627450980392,0.789980732177264,0.873767258382643,0.995735607675906,0.827800829875519,0.951898734177215,0.962425840474621,0.979791794243723,0.94461325230556,0.995735607675906,0.978538863560547
"sce00040  Pentose and glucuronate interconversions",1.20391179627252,1.70167607943159,1.23896893654122,1.35632344105204,1.34141657812867,1.45206783598053,0.34392523364486,0.177514792899408,0.331313131313131,0.270058708414873,0.286868686868687,0.256704980842912,0.917133956386293,0.770137524557957,0.848484848484849,0.912466843501326,0.932607215793057,0.759941089837997
"sce00051  Fructose and mannose metabolism",-1.63920746045405,-1.59246787648441,-1.89078498854476,-1.63039484266905,-1.63079673601762,-2.27282157564091,0.164609053497942,0.192534381139489,0.122873345935728,0.204868154158215,0.20532319391635,0.065439672801636,0.877914951989026,0.770137524557957,0.656716417910448,0.912466843501326,0.893772893772894,0.58254865034526
"sce00052  Galactose metabolism",-0.965636128100461,-0.273961248764313,-0.773683061014988,-0.674565188989958,-0.83836334462704,-0.727292461542424,0.445134575569358,0.839835728952772,0.519269776876268,0.584158415841584,0.49402390438247,0.55952380952381,0.951898734177215,0.962425840474621,0.876466528640442,0.934768389130047,0.938586616635397,0.933852140077821
"sce00061  Fatty acid biosynthesis",-1.99591941473133,-1.80359364512754,-2.02252933803337,-2.12839109189342,-2.15102586674928,-2.23503790368881,0.117296222664016,0.166030534351145,0.110416666666667,0.0894632206759443,0.0779727095516569,0.0735294117647059,0.877914951989026,0.770137524557957,0.656716417910448,0.813922356091031,0.891116680590365,0.58254865034526
"sce00062  Fatty acid elongation",-0.602675420199006,-1.21853230540832,-1.12132594814902,-1.01928413669245,-1.47888091610293,-1.39584745641217,0.638775510204082,0.317460317460317,0.383104125736739,0.421875,0.234615384615385,0.265979381443299,0.951898734177215,0.940623162845385,0.848484848484849,0.934768389130047,0.893772893772894,0.759941089837997
"sce00071  Fatty acid degradation",-0.263641468895908,-0.554785083131283,-0.0591448209872431,-0.483210253480739,-0.384824966564413,-0.579409472304292,0.83531746031746,0.667315175097276,0.973630831643002,0.705521472392638,0.777310924369748,0.630648330058939,0.951898734177215,0.962425840474621,0.984466019417476,0.934768389130047,0.938586616635397,0.933852140077821
"sce00100  Steroid biosynthesis",0.335702222157593,0.185663049723803,-0.879661785411588,-0.612443919170079,-0.772463592789891,-0.588347954902118,0.796039603960396,0.884313725490196,0.473076923076923,0.6187624750499,0.538310412573674,0.632380952380952,0.951898734177215,0.962425840474621,0.876466528640442,0.934768389130047,0.938586616635397,0.933852140077821
"sce00130  Ubiquinone and other terpenoid-quinone biosynthesis",-1.85857029719173,-1.32041809527949,-1.54789766431945,-1.48753391768834,-1.51362299839414,-1.20966344702156,0.142857142857143,0.304703476482618,0.229979466119097,0.239520958083832,0.220806794055202,0.359223300970874,0.877914951989026,0.937549158408054,0.824881676808655,0.912466843501326,0.893772893772894,0.914396887159533
"sce00190  Oxidative phosphorylation",-2.83548256242517,-3.54069710415291,-3.21923569142897,-2.61636402687152,-2.61346445634761,-2.71551399307075,0.0115830115830116,0.00188679245283019,0.0211132437619962,0.0282828282828283,0.0508474576271186,0.025390625,0.877914951989026,0.150943396226415,0.656716417910448,0.813922356091031,0.813559322033898,0.58254865034526
"sce00220  Arginine biosynthesis",0.441589039265625,0.474912630070324,0.222698835101301,0.148157388700923,0.264860958817687,0.144746031746032,0.757142857142857,0.713717693836978,0.852494577006508,0.912350597609562,0.847953216374269,0.886868686868687,0.951898734177215,0.962425840474621,0.979791794243723,0.946083964951889,0.938586616635397,0.985409652076319
"sce00230  Purine metabolism",-0.566038533555602,-0.810091650701666,-0.816815333883759,-1.25203076106416,-1.25904025061602,-1.40338578806836,0.655445544554455,0.518072289156627,0.513513513513513,0.330769230769231,0.333333333333333,0.257085020242915,0.951898734177215,0.962425840474621,0.876466528640442,0.912466843501326,0.938586616635397,0.759941089837997
"sce00240  Pyrimidine metabolism",1.21160557092464,1.20602176432721,1.1270525443013,1.10070232110122,0.936939472777402,0.976263976142602,0.336594911937378,0.351888667992048,0.373949579831933,0.374220374220374,0.476653696498055,0.447470817120623,0.917133956386293,0.962425840474621,0.848484848484849,0.934768389130047,0.938586616635397,0.933852140077821
"sce00250  Alanine, aspartate and glutamate metabolism",-0.989065534759393,-1.3290629291219,-1.38787238079748,-1.3077938799607,-1.02796011272943,-1.61191276582798,0.436,0.285996055226824,0.26171875,0.290076335877863,0.418250950570342,0.203629032258065,0.951898734177215,0.915187376725838,0.826546003016591,0.912466843501326,0.938586616635397,0.740469208211144
"sce00260  Glycine, serine and threonine metabolism",-1.51431861614145,-1.96297101618093,-2.06957689623695,-1.79118202795543,-1.68003795842664,-1.97427816999353,0.233716475095785,0.11531190926276,0.097165991902834,0.152610441767068,0.171259842519685,0.101167315175097,0.889477947132023,0.770137524557957,0.656716417910448,0.813922356091031,0.893772893772894,0.58254865034526
"sce00261  Monobactam biosynthesis",-1.25492024622582,-1.4757273082482,-1.30164244038987,-1.28445502244821,-1.00938444959045,-1.33270985605282,0.319919517102616,0.250505050505051,0.317269076305221,0.295404814004376,0.430020283975659,0.307070707070707,0.914055763150331,0.910927456382002,0.848484848484849,0.912466843501326,0.938586616635397,0.847091605712295
"sce00270  Cysteine and methionine metabolism",-1.7336047994787,-1.78220676133128,-1.54905265313507,-1.36245088253956,-1.8926946219609,-1.96722552183418,0.156626506024096,0.167315175097276,0.224948875255624,0.299794661190965,0.131958762886598,0.109227871939736,0.877914951989026,0.770137524557957,0.824881676808655,0.912466843501326,0.893772893772894,0.58254865034526
"sce00280  Valine, leucine and isoleucine degradation",-0.454272543202185,-0.726963129161663,-1.14091021337728,-1.23715310603576,-1.27390892672345,-1.61112227956589,0.708835341365462,0.566539923954373,0.353061224489796,0.329411764705882,0.303097345132743,0.199186991869919,0.951898734177215,0.962425840474621,0.848484848484849,0.912466843501326,0.932607215793057,0.740469208211144
"sce00290  Valine, leucine and isoleucine biosynthesis",-1.43671657083863,-2.01664026164837,-2.14892496208381,-1.79064894578156,-1.76934780090358,-1.97954393518957,0.253521126760563,0.108163265306122,0.0807453416149068,0.132553606237817,0.154440154440154,0.105050505050505,0.889477947132023,0.770137524557957,0.656716417910448,0.813922356091031,0.893772893772894,0.58254865034526
"sce00300  Lysine biosynthesis",-0.854224525849139,-1.13302801870735,-0.906856740803899,-0.904969462056697,-0.772716293117877,-1.15149995193273,0.494252873563218,0.359832635983264,0.468503937007874,0.491017964071856,0.545787545787546,0.365758754863813,0.951898734177215,0.962425840474621,0.876466528640442,0.934768389130047,0.938586616635397,0.914396887159533
"sce00310  Lysine degradation",-0.18146021994076,-0.302632502088145,-0.884435776197278,-0.746846293017559,-0.888464150046906,-1.40094925368532,0.888888888888889,0.793774319066148,0.487025948103792,0.56039603960396,0.489065606361829,0.248576850094877,0.951898734177215,0.962425840474621,0.876466528640442,0.934768389130047,0.938586616635397,0.759941089837997
"sce00330  Arginine and proline metabolism",-0.481647445920271,-0.382549186620861,-0.36650001756581,-0.424038303506137,-0.604870235367498,-0.445668818664347,0.688492063492063,0.760775862068966,0.782157676348548,0.74852652259332,0.645544554455446,0.723735408560311,0.951898734177215,0.962425840474621,0.979791794243723,0.934768389130047,0.938586616635397,0.933852140077821
"sce00340  Histidine metabolism",0.197462128849704,0.0897866019811718,-0.114192695951593,-0.60415590777629,-0.197147810759318,-0.15007041461128,0.886363636363636,0.937007874015748,0.926829268292683,0.647177419354839,0.879924953095685,0.911025145067698,0.951898734177215,0.97601323407775,0.980563441799519,0.934768389130047,0.938586616635397,0.988726513569937
"sce00350  Tyrosine metabolism",-1.92789829171128,-1.89268345061754,-1.66906548750413,-1.81734885748174,-1.40642614359888,-1.75862855988652,0.124752475247525,0.116803278688525,0.200392927308448,0.147572815533981,0.274353876739563,0.162376237623762,0.877914951989026,0.770137524557957,0.824881676808655,0.813922356091031,0.932607215793057,0.694429183606197
"sce00360  Phenylalanine metabolism",-0.314407849419994,-0.254214773929197,-0.326656867151397,-0.381379660922931,-0.0599548102022625,-0.303711644453374,0.808383233532934,0.854581673306773,0.810546875,0.754677754677755,0.973831775700935,0.827868852459016,0.951898734177215,0.962425840474621,0.979791794243723,0.934768389130047,0.995735607675906,0.978538863560547
"sce00380  Tryptophan metabolism",0.796404817544491,0.793711110911007,0.597460323501214,0.554651719227978,0.276964096514843,0.085928089754007,0.541666666666667,0.515625,0.64453125,0.686888454011742,0.824,0.95136186770428,0.951898734177215,0.962425840474621,0.954861111111111,0.934768389130047,0.938586616635397,0.999801232359372
"sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis",-1.27848491511352,-0.910407929148177,-1.21237892789715,-1.24137569087338,-0.742033342138143,-1.09006106932039,0.300194931773879,0.486,0.356107660455487,0.323529411764706,0.556213017751479,0.386752136752137,0.889477947132023,0.962425840474621,0.848484848484849,0.912466843501326,0.938586616635397,0.932389553331706
"sce00410  beta-Alanine metabolism",0.527375418329306,0.45536049431997,0.782628692670137,0.447408784207945,0.336788755738259,0.597349948559627,0.680080482897384,0.711729622266402,0.55992141453831,0.731160896130346,0.740663900414938,0.625506072874494,0.951898734177215,0.962425840474621,0.907493697960431,0.934768389130047,0.938586616635397,0.933852140077821
"sce00430  Taurine and hypotaurine metabolism",0.426167555443064,0.675214101847358,0.45737426274982,0.705147065379231,0.555350989646195,0.625499856990983,0.722567287784679,0.619521912350598,0.679207920792079,0.586776859504132,0.69061876247505,0.605058365758755,0.951898734177215,0.962425840474621,0.97029702970297,0.934768389130047,0.938586616635397,0.933852140077821
"sce00440  Phosphonate and phosphinate metabolism",0.259579631998661,-0.0351350806349975,0.20652644909767,0.245986263820711,0.0191709242027434,0.177133677985957,0.860557768924303,0.984790874524715,0.886319845857418,0.861855670103093,0.989648033126294,0.877118644067797,0.951898734177215,0.984790874524715,0.980563441799519,0.94461325230556,0.995735607675906,0.985409652076319
"sce00450  Selenocompound metabolism",0.594263130963765,0.822246976994072,0.707875176115804,0.43754068391794,0.762016875301798,0.50704708673977,0.645418326693227,0.523046092184369,0.572277227722772,0.754420432220039,0.550295857988166,0.719148936170213,0.951898734177215,0.962425840474621,0.907493697960431,0.934768389130047,0.938586616635397,0.933852140077821
"sce00480  Glutathione metabolism",-2.3884689917504,-2.38763957126278,-1.89617661971993,-2.01964720835853,-1.90958491605868,-2.27103803408581,0.0705394190871369,0.0500963391136802,0.105476673427992,0.104,0.148221343873518,0.075,0.877914951989026,0.770137524557957,0.656716417910448,0.813922356091031,0.893772893772894,0.58254865034526
"sce00500  Starch and sucrose metabolism",-0.659093887829718,0.289301993028867,-0.094434074823173,0.343146370610613,0.425992713394213,0.25133369979489,0.60541586073501,0.810650887573965,0.931535269709544,0.781704781704782,0.736401673640167,0.831758034026465,0.951898734177215,0.962425840474621,0.980563441799519,0.934768389130047,0.938586616635397,0.978538863560547
"sce00510  N-Glycan biosynthesis",-2.1699152388814,-1.68642367644073,-2.49151976545263,-2.15469989003888,-2.35068557432861,-2.2459681031341,0.0853658536585366,0.178861788617886,0.0390625,0.088477366255144,0.0504032258064516,0.0552147239263804,0.877914951989026,0.770137524557957,0.656716417910448,0.813922356091031,0.813559322033898,0.58254865034526
"sce00513  Various types of N-glycan biosynthesis",0.483341768283949,0.666632438868824,0.217675732254753,0.0145839113079889,-0.320008391206278,0.0036162326177188,0.704081632653061,0.59504132231405,0.869565217391304,0.981288981288981,0.813725490196078,1,0.951898734177215,0.962425840474621,0.979791794243723,0.989690721649485,0.938586616635397,1
"sce00514  Other types of O-glycan biosynthesis",1.31934123650384,1.1353118378083,0.825428971341285,0.568859272905448,0.410331875637444,0.397528037541337,0.294346978557505,0.37093690248566,0.525879917184265,0.652806652806653,0.74703557312253,0.756916996047431,0.889477947132023,0.962425840474621,0.876466528640442,0.934768389130047,0.938586616635397,0.961164439425309
"sce00515  Mannose type O-glycan biosynthesis",0.652673845106466,0.55880823662566,0.402629571598175,0.120691006367748,0.276524755798308,0.0118147814320801,0.6187624750499,0.660079051383399,0.723076923076923,0.922431865828092,0.84375,0.989690721649485,0.951898734177215,0.962425840474621,0.979791794243723,0.946083964951889,0.938586616635397,1
"sce00520  Amino sugar and nucleotide sugar metabolism",-0.598548767830408,-0.631768836543251,-0.238221467886652,-0.302608807462104,-0.360902446519249,-0.770214744712453,0.611854684512428,0.629778672032193,0.855670103092783,0.822937625754527,0.787109375,0.552742616033755,0.951898734177215,0.962425840474621,0.979791794243723,0.94461325230556,0.938586616635397,0.933852140077821
"sce00561  Glycerolipid metabolism",1.3989933494943,1.89621854682554,1.40511911909487,0.943005128329158,1.24886714645489,1.03012908356851,0.279678068410463,0.115768463073852,0.268627450980392,0.436008676789588,0.302734375,0.396265560165975,0.889477947132023,0.770137524557957,0.826546003016591,0.934768389130047,0.932607215793057,0.932389553331706
"sce00562  Inositol phosphate metabolism",-0.797454894415291,-0.742173001200639,-1.17570464936413,-0.537510442316628,-0.561162655855483,-0.634610869478678,0.533333333333333,0.573122529644269,0.33921568627451,0.677618069815195,0.663934426229508,0.613899613899614,0.951898734177215,0.962425840474621,0.848484848484849,0.934768389130047,0.938586616635397,0.933852140077821
