"score.Glucose","score.Ethanol","score.Acetate","score.Maltose","pvalue.Glucose","pvalue.Ethanol","pvalue.Acetate","pvalue.Maltose","fdr.pvalue.Glucose","fdr.pvalue.Ethanol","fdr.pvalue.Acetate","fdr.pvalue.Maltose"
"Gluconeogenesis",9.57513011005046,10.5551805733423,9.26815261558965,9.972563182643,0.001,0.001,0.001,0.001,0.0018,0.00192857142857143,0.002025,0.00192857142857143
"sce00010  Glycolysis",9.72103427762621,9.89241921484997,9.78710958698529,9.92384916319199,0.001,0.001,0.001,0.001,0.0018,0.00192857142857143,0.002025,0.00192857142857143
"sce00020  Citrate cycle (TCA cycle)",9.55744790535599,9.97871448091552,10.110559236879,9.82063914507054,0.001,0.001,0.001,0.001,0.0018,0.00192857142857143,0.002025,0.00192857142857143
"sce00030  Pentose phosphate pathway",6.53223479134729,6.69937131850591,6.23103056497545,7.01060703057352,0.001,0.001,0.001,0.001,0.0018,0.00192857142857143,0.002025,0.00192857142857143
"sce00040  Pentose and glucuronate interconversions",1.15974135700325,0.98120442111642,0.89053923062392,1.37379646655517,0.351626016260163,0.429447852760736,0.493041749502982,0.261758691206544,0.401150807282721,0.48112885806855,0.56248424943298,0.302892199824715
"sce00051  Fructose and mannose metabolism",5.26424275956875,4.80339180490581,4.78731327671901,4.79380703019661,0.001,0.001,0.001,0.001,0.0018,0.00192857142857143,0.002025,0.00192857142857143
"sce00052  Galactose metabolism",1.57350800967328,0.574552082580117,0.250909093970722,2.68692768534158,0.204868154158215,0.631364562118126,0.852941176470588,0.0336134453781513,0.259286257606491,0.681873727087576,0.863602941176471,0.0504201680672269
"sce00061  Fatty acid biosynthesis",1.34827161272398,1.31068935980903,1.19439837504426,1.02395197299199,0.272164948453608,0.288577154308617,0.354455445544554,0.409448818897638,0.324444953078508,0.348876858194,0.423272415762421,0.442204724409449
"sce00062  Fatty acid elongation",3.8027042898555,4.36053282037463,4.24726308524604,3.99681648617144,0.001,0.001,0.001,0.001,0.0018,0.00192857142857143,0.002025,0.00192857142857143
"sce00071  Fatty acid degradation",4.51169140130119,4.43040106968275,4.22909169956027,4.61544286678943,0.001,0.001,0.001,0.001,0.0018,0.00192857142857143,0.002025,0.00192857142857143
"sce00100  Steroid biosynthesis",4.87440464165581,4.56066743605424,4.14830884275771,5.27464196156084,0.001,0.001,0.001,0.001,0.0018,0.00192857142857143,0.002025,0.00192857142857143
"sce00130  Ubiquinone and other terpenoid-quinone biosynthesis",2.55193346851443,2.32054050424181,2.12265270430528,2.30512996364379,0.0323232323232323,0.0476190476190476,0.0818363273453094,0.0528455284552846,0.047603305785124,0.0665024630541872,0.116293728332808,0.0738015138772077
"sce00190  Oxidative phosphorylation",11.8829971814201,10.8815803317514,11.1852417282988,10.9364782992643,0.001,0.001,0.001,0.001,0.0018,0.00192857142857143,0.002025,0.00192857142857143
"sce00220  Arginine biosynthesis",6.01869008169887,5.81262187861811,5.503681582537,6.32861218504199,0.001,0.001,0.001,0.001,0.0018,0.00192857142857143,0.002025,0.00192857142857143
"sce00230  Purine metabolism",7.5224400467056,7.06659449798907,6.80491075603408,7.13514990292535,0.001,0.001,0.001,0.001,0.0018,0.00192857142857143,0.002025,0.00192857142857143
"sce00240  Pyrimidine metabolism",5.26157619332934,4.88099243537996,4.98737771622244,5.39795754444116,0.001,0.001,0.001,0.001,0.0018,0.00192857142857143,0.002025,0.00192857142857143
"sce00250  Alanine, aspartate and glutamate metabolism",6.20670107801493,6.61440267689614,6.51873166350466,6.97329636918456,0.001,0.001,0.001,0.001,0.0018,0.00192857142857143,0.002025,0.00192857142857143
"sce00260  Glycine, serine and threonine metabolism",7.7791943487405,8.0160365637911,7.78259458857799,7.2771336932564,0.001,0.001,0.001,0.001,0.0018,0.00192857142857143,0.002025,0.00192857142857143
"sce00261  Monobactam biosynthesis",2.49584974557503,2.48578581959175,2.57135462072925,2.50189779176032,0.020703933747412,0.0304182509505703,0.0441767068273092,0.0389863547758285,0.0316418610101957,0.0473822755191576,0.0675153443964537,0.056390977443609
"sce00270  Cysteine and methionine metabolism",6.00067728516992,5.64671710418923,5.89982244453962,5.92471102138596,0.001,0.001,0.001,0.001,0.0018,0.00192857142857143,0.002025,0.00192857142857143
"sce00280  Valine, leucine and isoleucine degradation",6.91264411382564,6.89232751260818,6.75945991292907,6.86718345894366,0.001,0.001,0.001,0.001,0.0018,0.00192857142857143,0.002025,0.00192857142857143
"sce00290  Valine, leucine and isoleucine biosynthesis",4.53804510094181,4.87601609784364,4.54076916205017,4.50711881819658,0.001,0.001,0.001,0.001,0.0018,0.00192857142857143,0.002025,0.00192857142857143
"sce00300  Lysine biosynthesis",6.09940199209932,5.93727413865937,5.51106238814425,5.83978426406008,0.001,0.001,0.001,0.001,0.0018,0.00192857142857143,0.002025,0.00192857142857143
"sce00310  Lysine degradation",5.9809815545087,5.79353506987573,5.75829720085891,5.62401807660476,0.001,0.001,0.001,0.001,0.0018,0.00192857142857143,0.002025,0.00192857142857143
"sce00330  Arginine and proline metabolism",4.45891733940865,4.45025892305362,4.03839648767095,4.6237867659114,0.001,0.001,0.001,0.001,0.0018,0.00192857142857143,0.002025,0.00192857142857143
